utt_id,wav,speaker,text
SYN_C_001_T0000,wavs_synthetic_80k/SYN_C_001_T0000.wav,C_001,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_002_T0000,wavs_synthetic_80k/SYN_C_002_T0000.wav,C_002,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_003_T0000,wavs_synthetic_80k/SYN_C_003_T0000.wav,C_003,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_004_T0000,wavs_synthetic_80k/SYN_C_004_T0000.wav,C_004,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_005_T0000,wavs_synthetic_80k/SYN_C_005_T0000.wav,C_005,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_006_T0000,wavs_synthetic_80k/SYN_C_006_T0000.wav,C_006,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_007_T0000,wavs_synthetic_80k/SYN_C_007_T0000.wav,C_007,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_008_T0000,wavs_synthetic_80k/SYN_C_008_T0000.wav,C_008,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_009_T0000,wavs_synthetic_80k/SYN_C_009_T0000.wav,C_009,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_010_T0000,wavs_synthetic_80k/SYN_C_010_T0000.wav,C_010,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_011_T0000,wavs_synthetic_80k/SYN_C_011_T0000.wav,C_011,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_012_T0000,wavs_synthetic_80k/SYN_C_012_T0000.wav,C_012,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_013_T0000,wavs_synthetic_80k/SYN_C_013_T0000.wav,C_013,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_014_T0000,wavs_synthetic_80k/SYN_C_014_T0000.wav,C_014,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_015_T0000,wavs_synthetic_80k/SYN_C_015_T0000.wav,C_015,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_016_T0000,wavs_synthetic_80k/SYN_C_016_T0000.wav,C_016,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_017_T0000,wavs_synthetic_80k/SYN_C_017_T0000.wav,C_017,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_018_T0000,wavs_synthetic_80k/SYN_C_018_T0000.wav,C_018,Később azonban a páciens állapota valamivel jobbra fordult
