utt_id,speaker,reference,prediction,wer
C_001_0001_stove_NULL_AO,C_001,Kapcsold ki a hűtő ő villanytűzhelyt,Kapcsold ki a tűzhelyet a villanyt és helyt,0.8333333333333334
C_001_0010_heating_NULL_AO,C_001,Kapcsold be a rá radiátort,Kapcsold be a radiátort,0.2
C_001_0001_computer_NULL_AO_2,C_001,Kikapcsoltad a monitort,Vikapcsoltad a ventilátort,0.6666666666666666
C_001_0100_shutter_kitchen_AOL,C_001,Ereszd le a zsala zsalut a konyhába,A redőnyt a szobába szobába konyhában,0.8571428571428571
C_002_0010_window_smallroom_AOL,C_002,Zárjuk be az ablakot a kisszobába,Csendesícsd a tévét a kisszobában,0.8333333333333334
C_002_0001_vacuum_room_LAO,C_002,Szobába kapcsoljuk ki a porszívót,Szobába kapcsoljuk ki a porszívót,0.0
C_002_0100_TV_NULL_AO,C_002,Vegyük halkabbra a televíziót,Vegyük halkok a televíziót,0.25
C_002_0001_door_smallroom_LAO,C_002,Kisszobába nyissuk ki az ajtót,Szobába nyissuk ki az ajtót,0.2
C_002_0010_fan_smallroom_AOL,C_002,Kapcsoljuk be a ventilátorokat a kisszobába,Kapcsoljuk be a ventilátorokat a kisszobában,0.16666666666666666
C_002_0001_vacuum_smallroom_LAO,C_002,Kisszobába kapcsoljuk ki a porszívót,Kisszobába kapcsoljuk ki a porszívót,0.0
C_002_0010_heating_corridor_LXAO,C_002,A folyosón hideg a radiátor ezért be kell kapcsolni a termosztátot,Folyosó nyit meg a radiátort nyit be kell kapcsoldni a termosztátot,0.5454545454545454
C_002_1000_electricity_kitchen_LAO,C_002,Konyhába kapcsoljuk fel a villanyt,Konyhában kapcsoljuk fel a villanyt,0.2
C_002_0001_window_NULL_XAO,C_002,Jó idő van nyissuk ki az ablakokat,A redőnyő nyissuk ki az ablakot,0.5714285714285714
C_002_0001_window_smallroom_AOL,C_002,Nyissuk ki az ablakot a kisszobába,Nyissuk ki az ablakot a kisszobában,0.16666666666666666
C_002_0010_door_livingroom_LAO,C_002,Nagyszobába csukjuk be az ajtót,Nagyszobába csukjuk be az ajtót,0.0
C_003_0001_fan_kitchen_AOL,C_003,Kapcsold ki a ventilátort a konyhába,Kapcsold ki a ventilátort a konyhában,0.16666666666666666
C_003_0010_fan_livingroom_AOL,C_003,Kapcsold be a ventilátort a nagyszobába,Kapcsold be ventillátort a nagyszobába,0.3333333333333333
C_003_0001_window_bathroom_LAO,C_003,Fürdőszobába nyisd ki az ablakot,Fürdőszobába nyisd ki az ablakot,0.0
C_003_0010_radio_smallroom_LAO,C_003,Kisszobába kapcsold be a rádiót,Kisszobába kapcsold be a rádiót.,0.2
C_003_0001_fan_smallroom_AOL,C_003,Kapcsold ki a ventilátort a kisszobába,Kapcsold ki a ventillátort a kisszobába,0.16666666666666666
C_003_0001_radio_kitchen_OAL,C_003,A rádiót kapcsold ki a konyhán,A rádiót kapcsold ki a konyhába.,0.16666666666666666
C_003_0010_curtain_room_LAO,C_003,Szobába húzd be a függönyt,Szobába húzd be a függönyt,0.0
C_003_0010_vacuum_room_AOXL,C_003,Kapcsold be a porszívót légyszi a szobába,Kapcsold be a porszívót légy szobában.,0.42857142857142855
C_003_0010_door_room_LAO,C_003,A szobába zárd be az ajtót,A szobába zárd be az ajtót,0.0
C_003_0001_washingmachine_NULL_AO,C_003,A mosógépet indítsd el és állítsd be a harminc fok melegre,A mosógépet indítsd le és állítsd be a harminc fokra.,0.2727272727272727
C_003_0010_curtain_kitchen_LAO,C_003,Konyhába húzd be a függönyt,Konyhába húzd be a függönyt.,0.2
C_003_0001_door_smallroom_AOL,C_003,Nyisd ki a ajtót a kisszobába,Nyisd ki a ajtót a kisszobába,0.0
C_003_0010_radio_room_LAO,C_003,A szobába kapcsold be a rádiót,Szobában a kapcsold be a rádiót,0.3333333333333333
C_003_0010_heating_corridor_AXOL,C_003,Kapcsold be légy szíves a termosztátot a folyosón,Kapcsold be légy szíves a mosá a folyosón,0.125
C_004_0001_door_smallroom_LAO,C_004,Kisszoba nyit ajtom,Fürdőszobába nyit ajtom,0.3333333333333333
C_004_0100_electricity_room_LAO,C_004,Szoban le lekapcsolol lámpam,Szoban le lekapcsolni lámpam,0.25
C_004_1111_NULL_kitchen_LA,C_004,Konyha csatornat válni,Konyhába csatorna válni,0.6666666666666666
C_004_0001_vacuum_kitchen_OAL,C_004,Porszívót ki konyha,Porcívót ki konyhába,0.6666666666666666
