utt_id,wav,speaker,text
C_001_0010_window_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0010_window_NULL_AO.wav,C_001,Bezártad az ablakot
C_001_0001_fan_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_fan_NULL_AO.wav,C_001,Kapcsold ki a ve ventilátorokat
C_001_0001_window_smallroom_AOL,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_window_smallroom_AOL.wav,C_001,Nyisd ki az ablakot kisszobába
C_001_0001_toaster_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_toaster_NULL_AO.wav,C_001,Kikapcsoltad a ke kenyérpirítót
C_001_0010_vacuum_livingroom_AOL,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0010_vacuum_livingroom_AOL.wav,C_001,Kapcsold be a porszívót a nagyszobába
C_001_0010_computer_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0010_computer_NULL_AO.wav,C_001,Kapcsold be a monitort
C_001_0100_electricity_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0100_electricity_NULL_AO.wav,C_001,Oltsd le a villanyt
C_001_0001_stove_NULL_AO_2,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_stove_NULL_AO_2.wav,C_001,Kikapcsoltad a vi villanytűzhelyt
C_001_0001_washingmachine_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_washingmachine_NULL_AO.wav,C_001,Harminc fokra állítsd a mosógépet
C_001_0001_vacuum_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_vacuum_NULL_AO.wav,C_001,Kikapcsoltad a porszívót
C_001_0010_door_smallroom_AOL,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0010_door_smallroom_AOL.wav,C_001,Zárd be az ajtót a konyha kisszobába
C_001_0010_curtain_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0010_curtain_NULL_AO.wav,C_001,Húzd be a függönyt
C_001_0001_fan_NULL_AO_2,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_fan_NULL_AO_2.wav,C_001,Kikapcsoltad a ventilátorokat
C_001_0010_heating_NULL_AO_2,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0010_heating_NULL_AO_2.wav,C_001,Bekapcsoltad a radiátort
C_001_0001_door_NULL_AO,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_0001_door_NULL_AO.wav,C_001,Nyisd ki az ajtót
C_001_1000_shutter_livingroom_AOL,/home/arcdeus/Documents/NewThesis/wavs_16khz/C_001_1000_shutter_livingroom_AOL.wav,C_001,Húzd fel a redőnyt a nagyszobába
